ts	perm	script	gates	verify	wall_sec
2026-04-25T16:59:05	0,1,2,4,7,3,5,6	fast	117	OK	0.22
2026-04-25T16:59:05	0,1,2,4,7,3,6,5	fast	111	OK	0.21
2026-04-25T16:59:05	0,1,2,4,7,5,3,6	fast	116	OK	0.23
2026-04-25T16:59:05	0,1,2,4,7,6,3,5	fast	96	OK	0.21
2026-04-25T16:59:05	0,1,2,4,7,5,6,3	fast	113	OK	0.22
2026-04-25T16:59:05	0,1,2,4,7,6,5,3	fast	115	OK	0.21
2026-04-25T16:59:05	0,1,2,5,3,4,6,7	fast	104	OK	0.21
2026-04-25T16:59:06	0,1,2,5,3,4,7,6	fast	103	OK	0.20
2026-04-25T16:59:06	0,1,2,5,3,6,4,7	fast	101	OK	0.20
2026-04-25T16:59:06	0,1,2,5,3,6,7,4	fast	107	OK	0.19
2026-04-25T16:59:06	0,1,2,5,4,3,6,7	fast	107	OK	0.19
2026-04-25T16:59:06	0,1,2,5,3,7,4,6	fast	107	OK	0.21
2026-04-25T16:59:06	0,1,2,5,3,7,6,4	fast	113	OK	0.22
2026-04-25T16:59:06	0,1,2,5,4,3,7,6	fast	115	OK	0.20
2026-04-25T16:59:06	0,1,2,5,4,6,3,7	fast	114	OK	0.21
2026-04-25T16:59:06	0,1,2,5,4,6,7,3	fast	120	OK	0.20
2026-04-25T16:59:06	0,1,2,5,4,7,3,6	fast	106	OK	0.19
2026-04-25T16:59:06	0,1,2,5,4,7,6,3	fast	111	OK	0.19
2026-04-25T16:59:06	0,1,2,5,6,3,4,7	fast	105	OK	0.20
2026-04-25T16:59:06	0,1,2,5,6,3,7,4	fast	98	OK	0.25
2026-04-25T16:59:06	0,1,2,5,6,4,3,7	fast	117	OK	0.22
2026-04-25T16:59:06	0,1,2,5,6,4,7,3	fast	108	OK	0.24
2026-04-25T16:59:07	0,1,2,5,6,7,3,4	fast	97	OK	0.22
2026-04-25T16:59:07	0,1,2,5,6,7,4,3	fast	108	OK	0.20
2026-04-25T16:59:07	0,1,2,5,7,3,6,4	fast	105	OK	0.21
2026-04-25T16:59:07	0,1,2,5,7,3,4,6	fast	117	OK	0.23
2026-04-25T16:59:07	0,1,2,5,7,4,3,6	fast	124	OK	0.22
2026-04-25T16:59:07	0,1,2,5,7,6,3,4	fast	97	OK	0.19
2026-04-25T16:59:07	0,1,2,5,7,4,6,3	fast	121	OK	0.23
2026-04-25T16:59:07	0,1,2,5,7,6,4,3	fast	105	OK	0.20
2026-04-25T16:59:07	0,1,2,6,3,4,5,7	fast	115	OK	0.18
2026-04-25T16:59:07	0,1,2,6,3,5,4,7	fast	130	OK	0.17
2026-04-25T16:59:07	0,1,2,6,3,4,7,5	fast	99	OK	0.19
2026-04-25T16:59:07	0,1,2,6,3,5,7,4	fast	107	OK	0.19
2026-04-25T16:59:07	0,1,2,6,3,7,4,5	fast	109	OK	0.17
2026-04-25T16:59:07	0,1,2,6,3,7,5,4	fast	108	OK	0.17
2026-04-25T16:59:07	0,1,2,6,4,3,5,7	fast	101	OK	0.17
2026-04-25T16:59:07	0,1,2,6,4,3,7,5	fast	119	OK	0.17
2026-04-25T16:59:07	0,1,2,6,4,5,3,7	fast	114	OK	0.19
2026-04-25T16:59:07	0,1,2,6,4,5,7,3	fast	106	OK	0.20
2026-04-25T16:59:08	0,1,2,6,4,7,3,5	fast	109	OK	0.20
2026-04-25T16:59:08	0,1,2,6,4,7,5,3	fast	117	OK	0.22
2026-04-25T16:59:08	0,1,2,6,5,3,4,7	fast	111	OK	0.22
2026-04-25T16:59:08	0,1,2,6,5,4,3,7	fast	106	OK	0.20
2026-04-25T16:59:08	0,1,2,6,5,3,7,4	fast	120	OK	0.23
2026-04-25T16:59:08	0,1,2,6,5,4,7,3	fast	104	OK	0.20
2026-04-25T16:59:08	0,1,2,6,5,7,4,3	fast	124	OK	0.23
2026-04-25T16:59:08	0,1,2,6,5,7,3,4	fast	117	OK	0.24
2026-04-25T16:59:08	0,1,2,6,7,3,5,4	fast	114	OK	0.22
2026-04-25T16:59:08	0,1,2,6,7,3,4,5	fast	120	OK	0.23
2026-04-25T16:59:08	0,1,2,6,7,4,3,5	fast	123	OK	0.26
2026-04-25T16:59:08	0,1,2,6,7,5,3,4	fast	116	OK	0.25
2026-04-25T16:59:08	0,1,2,6,7,4,5,3	fast	125	OK	0.27
2026-04-25T16:59:08	0,1,2,6,7,5,4,3	fast	128	OK	0.27
2026-04-25T16:59:09	0,1,2,7,3,4,5,6	fast	103	OK	0.20
2026-04-25T16:59:09	0,1,2,7,3,4,6,5	fast	104	OK	0.21
2026-04-25T16:59:09	0,1,2,7,3,5,4,6	fast	103	OK	0.21
2026-04-25T16:59:09	0,1,2,7,3,5,6,4	fast	116	OK	0.21
2026-04-25T16:59:22	0,1,2,3,4,5,7,6	deep	96	OK	13.20
2026-04-25T16:59:22	0,1,2,3,6,7,4,5	deep	85	OK	13.20
2026-04-25T16:59:22	0,1,2,3,4,5,6,7	deep	86	OK	13.20
2026-04-25T16:59:22	0,1,2,3,5,4,6,7	deep	102	OK	13.20
2026-04-25T16:59:35	0,1,2,3,6,7,5,4	deep	99	OK	13.03
2026-04-25T16:59:35	0,1,2,5,6,7,3,4	deep	99	OK	13.06
2026-04-25T16:59:35	0,1,2,4,7,6,3,5	deep	94	OK	13.07
2026-04-25T16:59:35	0,1,2,3,4,7,6,5	deep	99	OK	13.07
2026-04-25T16:59:48	0,1,2,3,7,6,4,5	deep	98	OK	12.41
2026-04-25T16:59:48	0,1,2,5,7,6,3,4	deep	90	OK	12.46
2026-04-25T17:01:48	0,1,2,3,4,5,7,6	fast	92	OK	0.25
2026-04-25T17:01:48	0,1,2,3,4,5,6,7	fast	93	OK	0.26
2026-04-25T17:01:48	0,1,2,3,4,6,7,5	fast	109	OK	0.25
2026-04-25T17:01:48	0,1,2,3,4,6,5,7	fast	107	OK	0.25
2026-04-25T17:01:48	0,1,2,3,5,4,7,6	fast	100	OK	0.15
2026-04-25T17:01:48	0,1,2,3,4,7,6,5	fast	97	OK	0.16
2026-04-25T17:01:48	0,1,2,3,5,4,6,7	fast	94	OK	0.16
2026-04-25T17:01:48	0,1,2,3,4,7,5,6	fast	104	OK	0.16
2026-04-25T17:01:48	0,1,2,3,5,6,7,4	fast	105	OK	0.16
2026-04-25T17:01:48	0,1,2,3,5,6,4,7	fast	106	OK	0.16
2026-04-25T17:01:48	0,1,2,3,5,7,4,6	fast	109	OK	0.16
2026-04-25T17:01:48	0,1,2,3,5,7,6,4	fast	107	OK	0.16
2026-04-25T17:01:48	0,1,2,3,6,5,4,7	fast	99	OK	0.17
2026-04-25T17:01:48	0,1,2,3,6,4,7,5	fast	110	OK	0.18
2026-04-25T17:01:48	0,1,2,3,6,4,5,7	fast	111	OK	0.18
2026-04-25T17:01:48	0,1,2,3,6,5,7,4	fast	105	OK	0.20
2026-04-25T17:01:48	0,1,2,3,6,7,4,5	fast	93	OK	0.16
2026-04-25T17:01:48	0,1,2,3,6,7,5,4	fast	95	OK	0.17
2026-04-25T17:01:48	0,1,2,3,7,4,5,6	fast	108	OK	0.17
2026-04-25T17:01:48	0,1,2,3,7,4,6,5	fast	106	OK	0.20
2026-04-25T17:01:49	0,1,2,3,7,5,4,6	fast	105	OK	0.17
2026-04-25T17:01:49	0,1,2,3,7,5,6,4	fast	112	OK	0.17
2026-04-25T17:01:49	0,1,2,3,7,6,4,5	fast	98	OK	0.17
2026-04-25T17:01:49	0,1,2,3,7,6,5,4	fast	102	OK	0.16
2026-04-25T17:01:49	0,1,2,4,3,6,5,7	fast	111	OK	0.17
2026-04-25T17:01:49	0,1,2,4,3,5,6,7	fast	118	OK	0.17
2026-04-25T17:01:49	0,1,2,4,3,5,7,6	fast	111	OK	0.18
2026-04-25T17:01:49	0,1,2,4,3,6,7,5	fast	107	OK	0.19
2026-04-25T17:01:49	0,1,2,4,3,7,5,6	fast	107	OK	0.19
2026-04-25T17:01:49	0,1,2,4,5,3,6,7	fast	122	OK	0.17
2026-04-25T17:01:49	0,1,2,4,3,7,6,5	fast	115	OK	0.19
2026-04-25T17:01:49	0,1,2,4,5,3,7,6	fast	117	OK	0.19
2026-04-25T17:01:49	0,1,2,4,5,6,3,7	fast	108	OK	0.17
2026-04-25T17:01:49	0,1,2,4,5,7,3,6	fast	115	OK	0.19
2026-04-25T17:01:49	0,1,2,4,5,6,7,3	fast	121	OK	0.19
2026-04-25T17:01:49	0,1,2,4,5,7,6,3	fast	132	OK	0.19
2026-04-25T17:01:50	0,1,2,4,6,3,5,7	fast	116	OK	0.19
2026-04-25T17:01:50	0,1,2,4,6,3,7,5	fast	100	OK	0.20
2026-04-25T17:01:50	0,1,2,4,6,5,3,7	fast	118	OK	0.19
2026-04-25T17:01:50	0,1,2,4,6,5,7,3	fast	110	OK	0.21
2026-04-25T17:01:50	0,1,2,4,6,7,3,5	fast	100	OK	0.20
2026-04-25T17:01:50	0,1,2,4,6,7,5,3	fast	108	OK	0.20
2026-04-25T17:01:50	0,1,2,4,7,3,5,6	fast	117	OK	0.20
2026-04-25T17:01:50	0,1,2,4,7,3,6,5	fast	111	OK	0.20
2026-04-25T17:01:50	0,1,2,4,7,5,3,6	fast	116	OK	0.20
2026-04-25T17:01:50	0,1,2,4,7,5,6,3	fast	113	OK	0.20
2026-04-25T17:01:50	0,1,2,4,7,6,3,5	fast	96	OK	0.20
2026-04-25T17:01:50	0,1,2,4,7,6,5,3	fast	115	OK	0.19
2026-04-25T17:01:50	0,1,2,5,3,4,6,7	fast	104	OK	0.19
2026-04-25T17:01:50	0,1,2,5,3,6,4,7	fast	101	OK	0.17
2026-04-25T17:01:50	0,1,2,5,3,4,7,6	fast	103	OK	0.17
2026-04-25T17:01:50	0,1,2,5,3,6,7,4	fast	107	OK	0.17
2026-04-25T17:01:51	0,1,2,5,4,3,6,7	fast	107	OK	0.17
2026-04-25T17:01:51	0,1,2,5,3,7,4,6	fast	107	OK	0.19
2026-04-25T17:01:51	0,1,2,5,3,7,6,4	fast	113	OK	0.20
2026-04-25T17:01:51	0,1,2,5,4,3,7,6	fast	115	OK	0.18
2026-04-25T17:01:51	0,1,2,5,4,6,3,7	fast	114	OK	0.18
2026-04-25T17:01:51	0,1,2,5,4,6,7,3	fast	120	OK	0.18
2026-04-25T17:01:51	0,1,2,5,4,7,3,6	fast	106	OK	0.18
2026-04-25T17:01:51	0,1,2,5,4,7,6,3	fast	111	OK	0.18
2026-04-25T17:01:51	0,1,2,5,6,3,4,7	fast	105	OK	0.18
2026-04-25T17:01:51	0,1,2,5,6,3,7,4	fast	98	OK	0.21
2026-04-25T17:01:51	0,1,2,5,6,4,3,7	fast	117	OK	0.18
2026-04-25T17:01:51	0,1,2,5,6,4,7,3	fast	108	OK	0.20
2026-04-25T17:01:51	0,1,2,5,6,7,3,4	fast	97	OK	0.20
2026-04-25T17:01:51	0,1,2,5,6,7,4,3	fast	108	OK	0.18
2026-04-25T17:01:51	0,1,2,5,7,3,4,6	fast	117	OK	0.21
2026-04-25T17:01:51	0,1,2,5,7,3,6,4	fast	105	OK	0.20
2026-04-25T17:01:51	0,1,2,5,7,4,3,6	fast	124	OK	0.18
2026-04-25T17:01:51	0,1,2,5,7,4,6,3	fast	121	OK	0.20
2026-04-25T17:01:51	0,1,2,5,7,6,3,4	fast	97	OK	0.17
2026-04-25T17:01:52	0,1,2,5,7,6,4,3	fast	105	OK	0.20
2026-04-25T17:01:52	0,1,2,6,3,4,5,7	fast	115	OK	0.19
2026-04-25T17:01:52	0,1,2,6,3,5,4,7	fast	130	OK	0.19
2026-04-25T17:01:52	0,1,2,6,3,4,7,5	fast	99	OK	0.21
2026-04-25T17:01:52	0,1,2,6,3,5,7,4	fast	107	OK	0.21
2026-04-25T17:01:52	0,1,2,6,3,7,4,5	fast	109	OK	0.22
2026-04-25T17:01:52	0,1,2,6,3,7,5,4	fast	108	OK	0.22
2026-04-25T17:01:52	0,1,2,6,4,3,5,7	fast	101	OK	0.21
2026-04-25T17:01:52	0,1,2,6,4,3,7,5	fast	119	OK	0.21
2026-04-25T17:01:52	0,1,2,6,4,5,3,7	fast	114	OK	0.19
2026-04-25T17:01:52	0,1,2,6,4,5,7,3	fast	106	OK	0.17
2026-04-25T17:01:52	0,1,2,6,4,7,3,5	fast	109	OK	0.17
2026-04-25T17:01:52	0,1,2,6,4,7,5,3	fast	117	OK	0.18
2026-04-25T17:01:52	0,1,2,6,5,3,4,7	fast	111	OK	0.18
2026-04-25T17:01:52	0,1,2,6,5,4,3,7	fast	106	OK	0.17
2026-04-25T17:01:52	0,1,2,6,5,3,7,4	fast	120	OK	0.20
2026-04-25T17:01:53	0,1,2,6,5,4,7,3	fast	104	OK	0.17
2026-04-25T17:01:53	0,1,2,6,5,7,3,4	fast	117	OK	0.20
2026-04-25T17:01:53	0,1,2,6,7,3,4,5	fast	120	OK	0.17
2026-04-25T17:01:53	0,1,2,6,5,7,4,3	fast	124	OK	0.20
2026-04-25T17:01:53	0,1,2,6,7,3,5,4	fast	114	OK	0.18
2026-04-25T17:01:53	0,1,2,6,7,4,3,5	fast	123	OK	0.20
2026-04-25T17:01:53	0,1,2,6,7,5,3,4	fast	116	OK	0.20
2026-04-25T17:01:53	0,1,2,6,7,4,5,3	fast	125	OK	0.20
2026-04-25T17:01:53	0,1,2,6,7,5,4,3	fast	128	OK	0.21
2026-04-25T17:01:53	0,1,2,7,3,4,5,6	fast	103	OK	0.18
2026-04-25T17:01:53	0,1,2,7,3,4,6,5	fast	104	OK	0.19
2026-04-25T17:01:53	0,1,2,7,3,5,4,6	fast	103	OK	0.19
2026-04-25T17:01:53	0,1,2,7,3,5,6,4	fast	116	OK	0.20
2026-04-25T17:01:53	0,1,2,7,3,6,4,5	fast	104	OK	0.18
2026-04-25T17:01:53	0,1,2,7,3,6,5,4	fast	103	OK	0.17
2026-04-25T17:01:53	0,1,2,7,4,3,5,6	fast	95	OK	0.18
2026-04-25T17:01:53	0,1,2,7,4,3,6,5	fast	105	OK	0.17
2026-04-25T17:01:54	0,1,2,7,4,5,3,6	fast	104	OK	0.17
2026-04-25T17:01:54	0,1,2,7,4,5,6,3	fast	97	OK	0.16
2026-04-25T17:01:54	0,1,2,7,4,6,3,5	fast	114	OK	0.18
2026-04-25T17:01:54	0,1,2,7,4,6,5,3	fast	104	OK	0.17
2026-04-25T17:01:54	0,1,2,7,5,3,4,6	fast	105	OK	0.19
2026-04-25T17:01:54	0,1,2,7,5,4,3,6	fast	108	OK	0.16
2026-04-25T17:01:54	0,1,2,7,5,3,6,4	fast	119	OK	0.19
2026-04-25T17:01:54	0,1,2,7,5,4,6,3	fast	101	OK	0.17
2026-04-25T17:01:54	0,1,2,7,6,3,4,5	fast	107	OK	0.19
2026-04-25T17:01:54	0,1,2,7,5,6,3,4	fast	112	OK	0.19
2026-04-25T17:01:54	0,1,2,7,5,6,4,3	fast	105	OK	0.19
2026-04-25T17:01:54	0,1,2,7,6,3,5,4	fast	103	OK	0.19
2026-04-25T17:01:54	0,1,2,7,6,5,3,4	fast	109	OK	0.21
2026-04-25T17:01:54	0,1,2,7,6,4,5,3	fast	125	OK	0.21
2026-04-25T17:01:54	0,1,2,7,6,4,3,5	fast	113	OK	0.22
2026-04-25T17:01:54	0,1,2,7,6,5,4,3	fast	119	OK	0.18
2026-04-25T17:01:54	0,1,3,2,4,5,7,6	fast	96	OK	0.16
2026-04-25T17:01:54	0,1,3,2,4,5,6,7	fast	98	OK	0.17
2026-04-25T17:01:54	0,1,3,2,4,6,5,7	fast	103	OK	0.17
2026-04-25T17:01:55	0,1,3,2,4,6,7,5	fast	106	OK	0.18
2026-04-25T17:01:55	0,1,3,2,4,7,5,6	fast	96	OK	0.18
2026-04-25T17:01:55	0,1,3,2,4,7,6,5	fast	122	OK	0.17
2026-04-25T17:01:55	0,1,3,2,5,4,6,7	fast	95	OK	0.17
2026-04-25T17:01:55	0,1,3,2,5,4,7,6	fast	93	OK	0.17
2026-04-25T17:01:55	0,1,3,2,5,6,4,7	fast	102	OK	0.17
2026-04-25T17:01:55	0,1,3,2,5,7,4,6	fast	106	OK	0.17
2026-04-25T17:01:55	0,1,3,2,5,6,7,4	fast	105	OK	0.18
2026-04-25T17:01:55	0,1,3,2,5,7,6,4	fast	112	OK	0.17
2026-04-25T17:01:55	0,1,3,2,6,4,5,7	fast	115	OK	0.18
2026-04-25T17:01:55	0,1,3,2,6,5,4,7	fast	103	OK	0.18
2026-04-25T17:01:55	0,1,3,2,6,4,7,5	fast	110	OK	0.18
2026-04-25T17:01:55	0,1,3,2,6,5,7,4	fast	95	OK	0.20
2026-04-25T17:01:55	0,1,3,2,6,7,4,5	fast	104	OK	0.20
2026-04-25T17:01:55	0,1,3,2,6,7,5,4	fast	98	OK	0.19
2026-04-25T17:01:55	0,1,3,2,7,4,5,6	fast	103	OK	0.20
2026-04-25T17:01:55	0,1,3,2,7,4,6,5	fast	94	OK	0.19
2026-04-25T17:01:56	0,1,3,2,7,6,4,5	fast	95	OK	0.17
2026-04-25T17:01:56	0,1,3,2,7,5,4,6	fast	107	OK	0.18
2026-04-25T17:01:56	0,1,3,2,7,5,6,4	fast	105	OK	0.18
2026-04-25T17:01:56	0,1,3,2,7,6,5,4	fast	109	OK	0.17
2026-04-25T17:01:56	0,1,3,4,2,5,7,6	fast	103	OK	0.18
2026-04-25T17:01:56	0,1,3,4,2,5,6,7	fast	104	OK	0.18
2026-04-25T17:01:56	0,1,3,4,2,6,5,7	fast	113	OK	0.18
2026-04-25T17:01:56	0,1,3,4,2,6,7,5	fast	103	OK	0.20
2026-04-25T17:01:56	0,1,3,4,2,7,5,6	fast	102	OK	0.18
2026-04-25T17:01:56	0,1,3,4,2,7,6,5	fast	99	OK	0.20
2026-04-25T17:01:56	0,1,3,4,5,2,6,7	fast	117	OK	0.22
2026-04-25T17:01:56	0,1,3,4,5,2,7,6	fast	117	OK	0.21
2026-04-25T17:01:56	0,1,3,4,5,6,2,7	fast	108	OK	0.20
2026-04-25T17:01:56	0,1,3,4,5,6,7,2	fast	124	OK	0.20
2026-04-25T17:01:56	0,1,3,4,5,7,2,6	fast	123	OK	0.21
2026-04-25T17:01:56	0,1,3,4,5,7,6,2	fast	120	OK	0.19
2026-04-25T17:01:56	0,1,3,4,6,2,5,7	fast	130	OK	0.20
2026-04-25T17:01:56	0,1,3,4,6,2,7,5	fast	101	OK	0.19
2026-04-25T17:01:57	0,1,3,4,6,5,2,7	fast	127	OK	0.20
2026-04-25T17:01:57	0,1,3,4,6,5,7,2	fast	124	OK	0.18
2026-04-25T17:01:57	0,1,3,4,6,7,5,2	fast	108	OK	0.18
2026-04-25T17:01:57	0,1,3,4,6,7,2,5	fast	100	OK	0.20
2026-04-25T17:01:57	0,1,3,4,7,2,5,6	fast	120	OK	0.22
2026-04-25T17:01:57	0,1,3,4,7,2,6,5	fast	98	OK	0.20
2026-04-25T17:01:57	0,1,3,4,7,5,6,2	fast	104	OK	0.18
2026-04-25T17:01:57	0,1,3,4,7,5,2,6	fast	121	OK	0.21
2026-04-25T17:01:57	0,1,3,4,7,6,2,5	fast	96	OK	0.21
2026-04-25T17:01:57	0,1,3,4,7,6,5,2	fast	117	OK	0.19
2026-04-25T17:01:57	0,1,3,5,2,4,6,7	fast	120	OK	0.19
2026-04-25T17:01:57	0,1,3,5,2,4,7,6	fast	111	OK	0.20
2026-04-25T17:01:57	0,1,3,5,2,6,4,7	fast	114	OK	0.19
2026-04-25T17:01:57	0,1,3,5,2,6,7,4	fast	108	OK	0.21
2026-04-25T17:01:57	0,1,3,5,2,7,4,6	fast	103	OK	0.20
2026-04-25T17:01:57	0,1,3,5,2,7,6,4	fast	116	OK	0.21
2026-04-25T17:01:58	0,1,3,5,4,2,6,7	fast	118	OK	0.18
2026-04-25T17:01:58	0,1,3,5,4,2,7,6	fast	117	OK	0.20
2026-04-25T17:01:58	0,1,3,5,4,6,2,7	fast	120	OK	0.17
2026-04-25T17:01:58	0,1,3,5,4,6,7,2	fast	118	OK	0.19
2026-04-25T17:01:58	0,1,3,5,4,7,2,6	fast	115	OK	0.19
2026-04-25T17:01:58	0,1,3,5,4,7,6,2	fast	120	OK	0.19
2026-04-25T17:01:58	0,1,3,5,6,2,4,7	fast	124	OK	0.19
2026-04-25T17:01:58	0,1,3,5,6,2,7,4	fast	104	OK	0.20
2026-04-25T17:01:58	0,1,3,5,6,4,2,7	fast	117	OK	0.19
2026-04-25T17:01:58	0,1,3,5,6,4,7,2	fast	113	OK	0.19
2026-04-25T17:01:58	0,1,3,5,6,7,2,4	fast	102	OK	0.19
2026-04-25T17:01:58	0,1,3,5,6,7,4,2	fast	107	OK	0.21
2026-04-25T17:01:58	0,1,3,5,7,2,4,6	fast	111	OK	0.23
2026-04-25T17:01:58	0,1,3,5,7,2,6,4	fast	99	OK	0.22
2026-04-25T17:01:58	0,1,3,5,7,4,2,6	fast	121	OK	0.25
2026-04-25T17:01:58	0,1,3,5,7,4,6,2	fast	102	OK	0.19
2026-04-25T17:01:58	0,1,3,5,7,6,2,4	fast	105	OK	0.19
2026-04-25T17:01:59	0,1,3,5,7,6,4,2	fast	109	OK	0.18
2026-04-25T17:01:59	0,1,3,6,2,4,5,7	fast	113	OK	0.18
2026-04-25T17:01:59	0,1,3,6,2,4,7,5	fast	107	OK	0.20
2026-04-25T17:01:59	0,1,3,6,2,5,4,7	fast	100	OK	0.18
2026-04-25T17:01:59	0,1,3,6,2,5,7,4	fast	109	OK	0.17
2026-04-25T17:01:59	0,1,3,6,2,7,4,5	fast	104	OK	0.18
2026-04-25T17:01:59	0,1,3,6,2,7,5,4	fast	103	OK	0.18
2026-04-25T17:01:59	0,1,3,6,4,2,5,7	fast	99	OK	0.18
2026-04-25T17:01:59	0,1,3,6,4,2,7,5	fast	121	OK	0.20
2026-04-25T17:01:59	0,1,3,6,4,5,2,7	fast	108	OK	0.18
2026-04-25T17:01:59	0,1,3,6,4,5,7,2	fast	101	OK	0.17
2026-04-25T17:01:59	0,1,3,6,4,7,2,5	fast	112	OK	0.20
2026-04-25T17:01:59	0,1,3,6,4,7,5,2	fast	113	OK	0.18
2026-04-25T17:01:59	0,1,3,6,5,2,4,7	fast	113	OK	0.21
2026-04-25T17:01:59	0,1,3,6,5,2,7,4	fast	118	OK	0.21
2026-04-25T17:01:59	0,1,3,6,5,4,2,7	fast	95	OK	0.18
2026-04-25T17:01:59	0,1,3,6,5,4,7,2	fast	115	OK	0.18
2026-04-25T17:02:00	0,1,3,6,5,7,2,4	fast	116	OK	0.21
2026-04-25T17:02:00	0,1,3,6,7,2,4,5	fast	113	OK	0.18
2026-04-25T17:02:00	0,1,3,6,5,7,4,2	fast	116	OK	0.21
2026-04-25T17:02:00	0,1,3,6,7,2,5,4	fast	113	OK	0.18
2026-04-25T17:02:00	0,1,3,6,7,4,2,5	fast	120	OK	0.21
2026-04-25T17:02:00	0,1,3,6,7,4,5,2	fast	115	OK	0.19
2026-04-25T17:02:00	0,1,3,6,7,5,2,4	fast	120	OK	0.18
2026-04-25T17:02:00	0,1,3,6,7,5,4,2	fast	122	OK	0.19
2026-04-25T17:02:00	0,1,3,7,2,4,5,6	fast	107	OK	0.20
2026-04-25T17:02:00	0,1,3,7,2,4,6,5	fast	118	OK	0.20
2026-04-25T17:02:00	0,1,3,7,2,5,4,6	fast	106	OK	0.20
2026-04-25T17:02:00	0,1,3,7,2,5,6,4	fast	113	OK	0.21
2026-04-25T17:02:00	0,1,3,7,2,6,4,5	fast	111	OK	0.18
2026-04-25T17:02:00	0,1,3,7,2,6,5,4	fast	113	OK	0.18
2026-04-25T17:02:00	0,1,3,7,4,2,5,6	fast	112	OK	0.20
2026-04-25T17:02:00	0,1,3,7,4,2,6,5	fast	127	OK	0.22
2026-04-25T17:02:01	0,1,3,7,4,5,6,2	fast	105	OK	0.19
2026-04-25T17:02:01	0,1,3,7,4,5,2,6	fast	116	OK	0.19
2026-04-25T17:02:01	0,1,3,7,4,6,2,5	fast	127	OK	0.21
2026-04-25T17:02:01	0,1,3,7,4,6,5,2	fast	118	OK	0.21
2026-04-25T17:02:01	0,1,3,7,5,2,4,6	fast	103	OK	0.22
2026-04-25T17:02:01	0,1,3,7,5,2,6,4	fast	127	OK	0.21
2026-04-25T17:02:01	0,1,3,7,5,4,2,6	fast	108	OK	0.18
2026-04-25T17:02:01	0,1,3,7,5,4,6,2	fast	114	OK	0.18
2026-04-25T17:02:01	0,1,3,7,5,6,2,4	fast	106	OK	0.21
2026-04-25T17:02:01	0,1,3,7,5,6,4,2	fast	115	OK	0.20
2026-04-25T17:02:01	0,1,3,7,6,2,4,5	fast	120	OK	0.18
2026-04-25T17:02:01	0,1,3,7,6,2,5,4	fast	112	OK	0.18
2026-04-25T17:02:01	0,1,3,7,6,4,5,2	fast	119	OK	0.21
2026-04-25T17:02:01	0,1,3,7,6,4,2,5	fast	125	OK	0.20
2026-04-25T17:02:01	0,1,3,7,6,5,2,4	fast	115	OK	0.21
2026-04-25T17:02:01	0,1,3,7,6,5,4,2	fast	123	OK	0.24
2026-04-25T17:02:02	0,1,4,2,3,5,6,7	fast	118	OK	0.20
2026-04-25T17:02:02	0,1,4,2,3,6,5,7	fast	99	OK	0.18
2026-04-25T17:02:02	0,1,4,2,3,5,7,6	fast	117	OK	0.21
2026-04-25T17:02:02	0,1,4,2,3,6,7,5	fast	120	OK	0.20
2026-04-25T17:02:02	0,1,4,2,3,7,5,6	fast	112	OK	0.18
2026-04-25T17:02:02	0,1,4,2,5,3,6,7	fast	118	OK	0.17
2026-04-25T17:02:02	0,1,4,2,3,7,6,5	fast	127	OK	0.19
2026-04-25T17:02:02	0,1,4,2,5,3,7,6	fast	113	OK	0.19
2026-04-25T17:02:02	0,1,4,2,5,6,3,7	fast	106	OK	0.17
2026-04-25T17:02:02	0,1,4,2,5,6,7,3	fast	119	OK	0.19
2026-04-25T17:02:02	0,1,4,2,5,7,3,6	fast	112	OK	0.18
2026-04-25T17:02:02	0,1,4,2,5,7,6,3	fast	119	OK	0.19
2026-04-25T17:02:02	0,1,4,2,6,3,5,7	fast	105	OK	0.17
2026-04-25T17:02:02	0,1,4,2,6,5,3,7	fast	122	OK	0.18
2026-04-25T17:02:02	0,1,4,2,6,3,7,5	fast	107	OK	0.19
2026-04-25T17:02:02	0,1,4,2,6,5,7,3	fast	113	OK	0.21
2026-04-25T17:02:02	0,1,4,2,6,7,3,5	fast	108	OK	0.21
2026-04-25T17:02:02	0,1,4,2,6,7,5,3	fast	101	OK	0.20
2026-04-25T17:02:03	0,1,4,2,7,3,5,6	fast	105	OK	0.20
2026-04-25T17:02:03	0,1,4,2,7,3,6,5	fast	114	OK	0.21
2026-04-25T17:02:03	0,1,4,2,7,5,3,6	fast	122	OK	0.20
2026-04-25T17:02:03	0,1,4,2,7,6,3,5	fast	112	OK	0.20
2026-04-25T17:02:03	0,1,4,2,7,5,6,3	fast	118	OK	0.22
2026-04-25T17:02:03	0,1,4,2,7,6,5,3	fast	100	OK	0.20
2026-04-25T17:02:03	0,1,4,3,2,5,6,7	fast	107	OK	0.18
2026-04-25T17:02:03	0,1,4,3,2,5,7,6	fast	115	OK	0.18
2026-04-25T17:02:03	0,1,4,3,2,6,5,7	fast	101	OK	0.18
2026-04-25T17:02:03	0,1,4,3,2,6,7,5	fast	116	OK	0.19
2026-04-25T17:02:03	0,1,4,3,2,7,5,6	fast	95	OK	0.19
2026-04-25T17:02:03	0,1,4,3,2,7,6,5	fast	105	OK	0.18
2026-04-25T17:02:03	0,1,4,3,5,2,6,7	fast	104	OK	0.18
2026-04-25T17:02:03	0,1,4,3,5,2,7,6	fast	104	OK	0.18
